【集合住宅】,,【集合住宅】,,,,
"複○○ガラス：
空気層があるため、断熱性能UP。遮○○性能は上がらない。",,"複層ガラス：
空気層があるため、断熱性能UP。遮音性能は上がらない。",,,,
"合○○ガラス：
樹脂製の中間膜で合わせる。飛○○防止。",,"合わせガラス：
樹脂製の中間膜で合わせる。飛散防止。",,,,
"L○○ガラス
特殊金属の膜をガラス表面にコーティングし、断熱性・日射遮蔽性を向上。
日射遮蔽型：○○ガラスの中空層側にコーティング。
断熱型：○○ガラスの中空層側にコーティング。",,"LOW-Eガラス
特殊金属の膜をガラス表面にコーティングし、断熱性・日射遮蔽性を向上。
日射遮蔽型：外側ガラスの中空層側にコーティング。
断熱型：内側ガラスの中空層側にコーティング。",,,,
"熱線吸収ガラス
日射遮蔽効果が高い。
熱線吸収ガラスは、熱○○がしやすい。",,"熱線吸収ガラス
日射遮蔽効果が高い。
熱線吸収ガラスは、熱割れがしやすい。",,,,
"網入りガラス
飛○○防止、延○○防止効果。（防○○効果は無い）
熱○○がしやすい。",,"網入りガラス
飛散防止、延焼防止効果。（防犯効果は無い）
熱割れがしやすい。",,,,
"強化ガラス
通常の板ガラスの○○～○○倍の強度
粒状に細かく割れるので、怪我になりにくい。
熱処理後の○○加工は出来ない。",,"強化ガラス
通常の板ガラスの3～5倍の強度
粒状に細かく割れるので、怪我になりにくい。
熱処理後の切断加工は出来ない。",,,,
■外壁,,■外壁,,,,
"・カーテンウォールの
ロッキング方式
スウェー方式",,"・カーテンウォールの
ロッキング方式
スウェー方式",,,,
"・カーテンウォールの水密処理の種類
オープンジョイント方式
フィルドジョイント工法",,"・カーテンウォールの水密処理の種類
オープンジョイント方式
フィルドジョイント工法",,,,
■屋根の種類,,・屋根の種類,,,,
切妻屋根,,切妻屋根,,,,
寄棟屋根,,寄棟屋根,,,,
入母屋屋根,,入母屋屋根,,,,
腰折れ屋根,,腰折れ屋根,,,,
陸屋根,,陸屋根,,,,
■屋根材料と勾配,,■屋根材料と勾配,,,,
茅葺き：勾配○○/○○以上,,茅葺き：勾配6/10以上,,,,
日本瓦：勾配○○/○○以上,,日本瓦：勾配4/10以上,,,,
アスファルトシングル葺き、金属板平葺き：勾配○○/○○以上,,アスファルトシングル葺き、金属板平葺き：勾配3/10以上,,,,
金属板瓦棒葺き：勾配○○/○○以上,,金属板瓦棒葺き：勾配2/10以上,,,,
長尺鉄板瓦棒葺き：勾配○○/○○以上,,長尺鉄板瓦棒葺き：勾配1/10以上,,,,
シート防水、アスファルト防水：勾配○○/○○以上,,シート防水、アスファルト防水：勾配1/100以上,,,,
■壁の種類,,■壁の種類,,,,
真壁：○○勝ちの壁。壁が伸縮しても隙間が開かないように、散りじゃくりを入れる。,,真壁：柱勝ちの壁。壁が伸縮しても隙間が開かないように、散りじゃくりを入れる。,,,,
大壁：○○勝ちの壁。,,大壁：壁勝ちの壁。,,,,
【015日本建築史】,,【015日本建築史】,,,,
■神社建築の8種類,,■神社建築の8種類,,,,
①神○○造,○○入。千○○。鰹○○。,①神明造り(伊勢神宮),平入り。千木（ちぎ）。鰹木（かつおぎ）。,,,
②大○○造,○○入。左右○○の入口。,②大社造り(出雲大社),妻入り。左右非対称の入口。,,,
③住○○造,○○入。左右○○の入口。前を○○陣、後ろを○○陣という。現在は前側に拝殿が付属。,③住吉造り(住吉大社),妻入り。左右対称の入口。内部が2部屋に分かれ、前を外陣、後ろを内陣という。現在は前側に拝殿が付属。,,,
④流○○造,○○入り。この様式が全国で一番多い。,④流れ造り(上加茂神社、下鴨神社),平入り（平側に庇）。この様式が全国で一番多い。,,,
⑤春○○造,○○入り,⑤春日造り(春日大社),妻入り（妻側に庇),,,
⑥八○○造,○○入りを○○重ねる。,⑥八幡造り(宇佐神宮本殿),平入りを2つ重ねる。どちらも本殿。,,,
⑦両○○造,○○入り。,⑦両流れ造り(厳島神社),平入り。正面側と後方側の両方の屋根を長く伸ばす。,,,
⑧権○○造,石の○。入○○。,⑧権現造り(日光東照宮),本殿と拝殿を「石の間」もしくは「相の間」と呼ばれる幣殿で繋ぐ建築様式のこと。入母屋造り。,,,
■お寺の様式,,・お寺の様式,,,,
雲形の組物、雲肘木。,飛,飛鳥様式,,,,
大胆な建築。挿し肘木。六手先組物。,大,大仏様,例）東大寺南大門、浄土寺浄土堂,,,
繊細な建築。海老虹梁、火灯窓、詰組み。,禅,禅宗様,例）円覚寺舎利殿,,,
柱上のみに組物、平行垂木、装飾少なく簡素。三手先組物。,和,和様,例）薬師寺東塔、唐招提寺金堂、新薬師寺本堂,,,
丸柱。床は板張り。外周は壁少ない。扉や蔀（しとみ）。,寝,寝殿造,例）東三条殿（ひがしさんじょうどの）,,,
付書院、床間、床脇（違い棚）,書,書院造,例）光浄院客殿、二条城二の丸御殿,,,
質素。軽快な。簡素で繊細な装飾。,数,数寄屋造,例）桂離宮、西本願寺飛雲閣,,,
"民家の様式。
合掌造り、本棟造り、漏斗造り、曲り家、キャロク造り、アイヌのチセ、両番、兜造り、四方蓋",,合掌造り、本棟造り、漏斗造り、曲り家、キャロク造り、アイヌのチセ、両番、兜造り、四方蓋,,,,
"書院造りの3点セット
①付○○：棚板と明かり取りの障子で構成。もともとは読み書き用の机。
②床○○：掛け軸、花を飾る空間。
③床○○（○○棚）：もともとは工芸品や書物などを置く場所。",,"書院造りの3点セット
①付書院：棚板と明かり取りの障子で構成。もともとは読み書き用の机。
②床の間：掛け軸、花を飾る空間。
③床脇（違い棚）：もともとは工芸品や書物などを置く場所。",,,,
"○○勝手：向かって左に床の間、その左に付書院。右に床脇。
○○勝手：向かって右に床の間、その右に付書院。左に床脇。",,"本勝手：向かって左に床の間、その左に付書院。右に床脇。
逆勝手：向かって右に床の間、その右に付書院。左に床脇。",,,,
無双四分一：床の間に掛け軸を掛けるために設けるためのもの。,,無双四分一：床の間に掛け軸を掛けるために設けるためのもの。,,,,
有名な木割書（きわりしょ）。平内政信。江戸初期。,匠,匠明(しょうめい),,,,
【016西洋・東洋建築史】,,【016西洋・東洋建築史】,,,,
"①古○○様式：オーダー（柱とエンタブレチャの比+柱頭の装飾)。
ド○○式、イ○○式、コ○○式",,"①古代ギリシャ様式
ドリス式、イオニア式、コリント式",例)パルテノン神殿、エレクテイオン神殿,,,
②ロ○○様式：アーチ。○○ヴォールト。,,②ローマ様式：アーチ。筒状ヴォールト。,例)パンテオン、フォロ・ロマーノ、カラカラ浴場,,,
③ビ○○様式：ギ○○十字の平面。ペ○○ドーム。,,③ビザンティン様式：ギリシャ十字の平面。ペンデンティブドーム。,例)サン・マルコ大聖堂、ハギア・ソフィア大聖堂,,,
④ロ○○様式：ラテン十字の平面。○○ヴォールト。バシリカ。,,④ロマネスク様式：ラテン十字の平面。交差ヴォールト。バシリカ。,例)ピサ大聖堂（イタリア）、ヴォルムス大聖堂（ドイツ）、サンタ・マリア修道院（スペイン）、シュパイヤー大聖堂（ドイツ）,,,
⑤ゴ○○様式：○○窓。○○アーチ。○○ヴォールト。フ○○バットレス。,,"⑤ゴシック様式
バラ窓。尖塔アーチ。リブヴォールト。フライングバットレス。",例)サントシャペル（フランス）,,,
⑥ル○○様式：ギ○○・ロ○○時代の復興。,,⑥ルネサンス様式：ギリシャ・ローマ時代の復興。,例)フィレンツェ大聖堂（イタリア）、テンピエット（イタリアローマ）、カンピドリオ広場（イタリアローマ）,,,
⑦バ○○様式：不規○○。○○円。歪んだ○○,,⑦バロック様式：不規則。楕円。歪んだ真珠。,例)サンピエトロ大聖堂（イタリアローマ。楕円の広場ある）。ヴェルサイユ宮殿（フランス）,,,
⑧ロ○○様式：○○な装飾。ロカイユ装飾。猫足脚部。,,⑧ロココ様式：優雅な装飾。ロカイユ装飾。猫足脚部。,例)オテル・ド・スービーズ（フランス）,,,
⑨新○○様式：ギリシャ・ローマ時代を規範。,,⑨新古典主義様式：ギリシャ・ローマ時代を規範。,例)大英博物館。アルテスムゼウム（ドイツ）,,,
⑩ロ○○様式：ゴシック様式の模倣。,,⑩ロマン主義様式：ゴシック様式の模倣。,例),,,
⑪ア○○様式：曲○○を多用した様式。鉄、ガ○○の利用。,,⑪アールヌーヴォー様式：曲線を多用した様式。鉄、ガラスの利用。,例)タッセル邸（ベルギー）、オルタ自邸（ベルギー）、パリの地下鉄駅出入口,,,
■ギリシャ建築の3つの柱頭,,■ギリシャ建築の3つの柱頭,,,,
①ド○○式：エ○○をもつ,,①ドリス式：エンタシスをもつ,,,,
②イ○○式：渦○○型の柱頭,,②イオニア式：渦巻型の柱頭,,,,
③コ○○式：植○○葉の柱頭（アカンサスの葉）,,③コリント式：植物の葉の柱頭（アカンサスの葉）,,,,
【017契約・マネジメント】,,【017契約・マネジメント】,,,,
■契約,,■契約,,,,
"設計者の法的義務
①善○○義務
②説○○義務
③完成建物の瑕○○に対する責任",,"設計者の法的義務
①善管注意義務
②説明義務
③完成建物の瑕疵に対する責任",,,,
"建築主の義務
①報○○義務
②設○○義務",,"建築主の義務
①報酬支払義務
②設計への協力義務",,,,
"工事監理者の義務
①重○○義務
②書○○義務
③善○○義務",,"工事監理者の義務
①重要事項説明義務
②書面交付義務
③善管注意義務",,,,
"標準契約約款の主な例
・公共建築工事標準請負契約約款
・民間建築工事標準請負契約約款",,"標準契約約款の主な例
・公共建築工事標準請負契約約款
・民間建築工事標準請負契約約款",,,,
■マネジメント,,■マネジメント,,,,
・調達方式の種類,,・調達方式の種類,,,,
設計施工分離発注方式,,設計施工分離発注方式,,,,
設計施工一括発注方式,,設計施工一括発注方式,,,,
GC一式請負方式,,GC一式請負方式,,,,
施工分離発注方式,,施工分離発注方式,,,,
マネジメント方式,,マネジメント方式,,,,
CM方式（PureCM）,,CM方式（PureCM）,,,,
PFI方式(プライベート・ファイナンス・イニシアティブ )：民間のノウハウを活用した公共施設の建設・運営手法のことです。,,PFI方式(プライベート・ファイナンス・イニシアティブ )：民間のノウハウを活用した公共施設の建設・運営手法のことです。,,,,
ECIは、Early Contractor Involvementの略です。,,ECIは、Early Contractor Involvementの略です。,,,,
「アーリー（早期）」に「コントラクター（請負者・施工者）」が「インボルブメント（関与）」するという意味です。,,「アーリー（早期）」に「コントラクター（請負者・施工者）」が「インボルブメント（関与）」するという意味です。,,,,
JV（ジョイントベンチャー）：複数の建設業者が特定のプロジェクトのために組織する共同企業体である。リスクを分散する目的。,,JV（ジョイントベンチャー）：複数の建設業者が特定のプロジェクトのために組織する共同企業体である。リスクを分散する目的。,,,,
SPC：特定事業目的会社（Special Purpose Company）。PFIでよく作られる。リスクを限定的にする目的。特定事業以外には行わない。契約期間が終了したら解散。,,SPC：特定事業目的会社（Special Purpose Company）。PFIでよく作られる。リスクを限定的にする目的。特定事業以外には行わない。契約期間が終了したら解散。,,,,
・PFIの手法,,・PFIの手法,,,,
"BOT
　Build（民間による建設）→Operate（民間による運営）→Transfer（行政に移管）
　→民間による運営のノウハウや創意工夫が発揮されやすい。",,"BOT
　Build（民間による建設）→Operate（民間による運営）→Transfer（行政に移管）
　→民間による運営のノウハウや創意工夫が発揮されやすい。",,,,
"BTO
　Build（民間による建設）→Transfer（行政に移管）→Operate（民間による運営）
　→行政が施設を所有してから民間が運営するため、
　　運営の際に行政からの補助金や税制面で優遇がある場合が多い。
　　この理由でBTOのほうが実例としては多い。",,"BTO
　Build（民間による建設）→Transfer（行政に移管）→Operate（民間による運営）
　→行政が施設を所有してから民間が運営するため、
　　運営の際に行政からの補助金や税制面で優遇がある場合が多い。
　　この理由でBTOのほうが実例としては多い。",,,,
■事業計画など,,■事業計画など,,,,
"・フィージビリティスタディ
「フィージビリティ」とは「実現可能性」という意味。
計画している建築物が主として採算面で実現可能性があるか否かの予備調査です。
フィージビリティスタディの結果しだいでは、計画が中止になることもあります。",,"・フィージビリティスタディ
「フィージビリティ」とは「実現可能性」という意味。
計画している建築物が主として採算面で実現可能性があるか否かの予備調査です。
フィージビリティスタディの結果しだいでは、計画が中止になることもあります。",,,,
"・デューデリジェンス
DD（ディーディー）とも言います。
「デューデリジェンス（Due Diligence）」は「当然の努力」という意味。
不動産の取得やM＆A（企業の合併や買収）の前に行う、主として採算面についての詳細な調査です。",,"・デューデリジェンス
DD（ディーディー）とも言います。
「デューデリジェンス（Due Diligence）」は「当然の努力」という意味。
不動産の取得やM＆A（企業の合併や買収）の前に行う、主として採算面についての詳細な調査です。",,,,
・BCP：ビジネスコンティニュープラン。災害等が起きても事業が継続できるように作成する行動計画。,,・BCP：ビジネスコンティニュープラン。災害等が起きても事業が継続できるように作成する行動計画。,,,,
【18建築積算】,,【18建築積算】,,,,
"・積算数量の定義の種類
設○○数量：○○図書から求めた数量
所○○数量：切○○、損○○などを含んだ数量
計○○数量：○○計画により求めた数量（設計図書にない仮○○や土○○の数量等が該当）",,"・積算数量の定義の種類
設計数量：設計図書から求めた数量
所要数量：切り無駄、損耗などを含んだ数量
計画数量：施工計画により求めた数量（設計図書にない仮設物や土工の数量等が該当）",,,,
"仮設の定義の種類
共○○仮設
直○○仮設
専○○仮設",,"仮設の定義の種類
共通仮設
直接仮設
専用仮設",国土交通省「公共建築数量積算基準」,,,
■躯体の積算,,■躯体の積算,,,,
コンクリートの数量は、体積とする。（［m3］で数える。）,,・コンクリートの数量は、体積とする。（［m3］で数える。）,,,,
コンクリートの開口部1か所当たりの体積が○○m3以下の場合は、コンクリートの欠除は無いものとする。,,コンクリートの開口部1か所当たりの体積が0.5m3以下の場合は、コンクリートの欠除は無いものとする。,,,,
SRC造の鉄骨によるコンクリートの欠陥は○○tを○○m3で換算する。,,SRC造の鉄骨によるコンクリートの欠陥は7.85tを1.0m3で換算する。,,,,
■鉄筋、鉄骨の積算,,■鉄筋、鉄骨の積算,,,,
・鉄骨の数量は、質量とする。（［t：トン］で数える。）,,・鉄骨の数量は、質量とする。（［t：トン］で数える。）,,,,
"鉄筋の所要数量は、
・一般：設計数量の鉄筋の○○%の割増をする。
・山留壁、杭：設計数量の鉄筋の○○％の割増とする。",,"鉄筋の所要数量は、
・一般：設計数量の4%の割増をする。
山留壁、杭：設計数量の3％の割増とする。",,,,
"鉄骨の所要数量は、
・一般：設計数量の鉄骨の○○%の割増。
・広幅平鋼、鉄板：鉄骨の○○%の割増。
・ボルト類：○○%の割増。
・アンカーボルト、デッキプレート：○○%の割増。",,"鉄骨の所要数量は、
・一般：設計数量の5%の割増。
・広幅平鋼、鉄板：3%の割増。
・ボルト類：4%の割増。
・アンカーボルト、デッキプレート：0%の割増。",,,,
"重ね継手・圧接継手の箇所数（原則）
・径○○mm以下の鉄筋　→　○○mごとに継手があるものとする。
・径○○mm以上の鉄筋　→　○○mごとに継手があるものとする。",,"重ね継手・圧接継手の箇所数（原則）
・径13mm以下の鉄筋　→　6.0mごとに継手があるものとする。
・径16mm以上の鉄筋　→　7.0mごとに継手があるものとする。",,,,
"溶接長
・脚長○○mmの○○溶接に換算した延べ長さで積算。",,"溶接長
・脚長6mmの隅肉溶接に換算した延べ長さで積算。",,,,
■地業,,■地業,,,,
"法付け工法
　余幅＝「作業上のゆとり幅」＋「法幅の○○/2」",,"法付け工法
　余幅＝「作業上のゆとり幅」＋「法幅の1/2」",,,,
"山留め工法
・余幅＝○○m（根切り深さにかかわらず）",,"山留め工法
・余幅＝1.0m（根切り深さにかかわらず）",,,,
"作業上のゆとり幅の標準
・○○m",,"作業上のゆとり幅の標準
・0.5m　　…これが標準",,,,
"土間、犬走りにおける作業上のゆとり幅
・○○m",,"土間、犬走りにおける作業上のゆとり幅
・0.1m　　…これが例外",,,,
・仕上げの積算,,・仕上げの積算,,,,
■間仕切下地,,■間仕切下地,,,,
"①1段階目の割増
　「設計寸法による長さをm単位に切り上げた長さ」を求める。",,①1段階目の割増,,,,
"②2段階目の割増
　求めた長さと「設計図書における断面積」とによる体積を求めて5％の割増をする。",,②2段階目の割増,,,,
■仕上,,■仕上,,,,
"①1段階目の割増
　「内法寸法による長さに両端の接合等のために必要な長さとして10％を加えた長さ」を求める。",,①1段階目の割増,,,,
"②2段階目の割増
　求めた長さと「設計図書における断面積」とによる体積を求めて5％の割増をする。
1段階目の長さの割増の方法は異なりますが、目的はほぼほぼ同じです。",,②2段階目の割増,,,,
,,,,,,
"エスカレーター
・エスカレーターの勾配：30度以下
・エスカレーターの速度：
・50m/分以下（勾配8度以下）
・45m/分以下（勾配8度～30度）
（建築基準法施行令129条の12）",,"エスカレーター
・エスカレーターの勾配：30度以下
・エスカレーターの速度：
・50m/分以下（勾配8度以下）
・45m/分以下（勾配8度～30度）
（建築基準法施行令129条の12）",,,,
