"建築基準法の全体像
・総○○、手○○関連
・集○○規定
・単○○規定","建築基準法の全体像
・総則、手続き関連
・集団規定
・単体規定"
"耐火建築物等としなければならない特殊建築物：法27条
法別表1一号（劇場、映画館、観覧場、集会場、等）：
対象用途の階：
・○○階以上、又は、
・主階が○○階にないもの（階数が○○以下で○○m2未満を除く）

対象用途の床面積：○○m2以上、屋外観覧場は○○m2以上","耐火建築物等としなければならない特殊建築物：法27条
法別表1一号（劇場、映画館、観覧場、集会場、等）：
対象用途の階：
・3階以上、又は、
・主階が1階にないもの（階数が3以下で200m2未満を除く）

対象用途の床面積：200m2以上、屋外観覧場は1000m2以上"
"耐火建築物等としなければならない特殊建築物：法27条
法別表1二号（病院、ホテル、共同住宅、児童福祉施設、等）：
対象用途の階：
○○階以上（階数○○で、延べ面積○○m2未満は除く、ただし就寝用途（病院、共同住宅等）に対しては警○○設備が必要）
対象用途の床面積：○○","耐火建築物等としなければならない特殊建築物：法27条
法別表1二号（病院、ホテル、共同住宅、児童福祉施設、等）：
対象用途の階：
3階以上（階数3で、延べ面積200m2未満は除く、ただし就寝用途（病院、共同住宅等）に対しては警報設備が必要）
対象用途の床面積：-"
"耐火建築物等としなければならない特殊建築物：法27条
法別表1三号（学校、体育館、博物館、等）：
対象用途の階：○○階以上
対象用途の床面積：○○","耐火建築物等としなければならない特殊建築物：法27条
法別表1三号（学校、体育館、博物館、等）：
対象用途の階：3以上
対象用途の床面積：-"
"耐火建築物等としなければならない特殊建築物：法27条
法別表1四号（百貨店、キャバレー、飲食店、等）：
対象用途の階：○○階以上
対象用途の床面積：○○m2以上","耐火建築物等としなければならない特殊建築物：法27条
法別表1四号（百貨店、キャバレー、飲食店、等）：
対象用途の階：3以上
対象用途の床面積：3000m2以上"
"耐火建築物としなければならない特殊建築物：法27条
法別表1五号（倉庫、等）：
対象用途の階：○○
対象用途の床面積：○○階以上の部分が○○m2以上.","耐火建築物としなければならない特殊建築物：法27条
法別表1五号（倉庫、等）：
対象用途の階：-
対象用途の床面積：3階以上の部分が200m2以上."
"耐火建築物としなければならない特殊建築物：法27条
法別表1六号（自動車車庫、自動車修理工場、映画スタジオ、テレビスタジオ等）：
対象用途の階：○○階以上
対象用途の床面積：○○","耐火建築物としなければならない特殊建築物：法27条
法別表1六号（自動車車庫、自動車修理工場、映画スタジオ、テレビスタジオ等）：
対象用途の階：3階以上
対象用途の床面積：-"
"準耐火建築物等としなければならない特殊建築物：法27条
法別表1二号（病院、ホテル、共同住宅、児童福祉施設、等）：
対象用途の階：○○
対象用途の床面積：○○階が○○m2以上","準耐火建築物等としなければならない特殊建築物：法27条
法別表1二号（病院、ホテル、共同住宅、児童福祉施設、等）：
対象用途の階：-
対象用途の床面積：2階が300m2以上"
"準耐火建築物等としなければならない特殊建築物：法27条
法別表1三号（学校、体育館、博物館、等）：
対象用途の階：○○
対象用途の床面積：○○m2以上","準耐火建築物等としなければならない特殊建築物：法27条
法別表1三号（学校、体育館、博物館、等）：
対象用途の階：-
対象用途の床面積：2000m2以上"
"準耐火建築物等としなければならない特殊建築物：法27条
法別表1四号（百貨店、キャバレー、飲食店、等）：
対象用途の階：○○
対象用途の床面積：○○階が○○m2以上","準耐火建築物等としなければならない特殊建築物：法27条
法別表1四号（百貨店、キャバレー、飲食店、等）：
対象用途の階：-
対象用途の床面積：2階が500m2以上"
"準耐火建築物としなければならない特殊建築物：法27条
法別表1五号（倉庫、等）：
対象用途の階：○○
対象用途の床面積：○○m2以上.","準耐火建築物としなければならない特殊建築物：法27条
法別表1五号（倉庫、等）：
対象用途の階：-
対象用途の床面積：1500m2以上."
"準耐火建築物としなければならない特殊建築物：法27条
法別表1六号（自動車車庫、自動車修理工場、映画スタジオ、テレビスタジオ等）※自動車修理工場以外の工場は対象外！
対象用途の階：○○
対象用途の床面積：○○m2以上","準耐火建築物としなければならない特殊建築物：法27条
法別表1六号（自動車車庫、自動車修理工場、映画スタジオ、テレビスタジオ等）※自動車修理工場以外の工場は対象外！
対象用途の階：-
対象用途の床面積：150m2以上"
"準耐火構造としなければならない特殊建築物：法27条3項二号
・法別表2(と)四号に規定する危○○物の貯蔵場、又は、処理場で、
・令○○条の9の表の規定量を超えて、貯蔵・処理する建築物","準耐火構造としなければならない特殊建築物：法27条3項二号
・法別表2(と)四号に規定する危険物の貯蔵場、又は、処理場で、
・令130条の9の表の規定量を超えて、貯蔵・処理する建築物"
"大規模建築物の主要構造部に関する規制：法21条1項
特定主要構造部を、通常火災終了時間に対応する、
令109条の5の構造方法、又は、大臣認定を受けたものとしなければならない。
①地階を除く階数が○○以上である建築物
②高さ○○m超の建築物
③法別表い五号（倉庫）、法別表い六号（自動車車庫、自動車修理工場等）で、高さ○○m超","大規模建築物の主要構造部に関する規制：法21条1項
特定主要構造部を、通常火災終了時間に対応する、
令109条の5の構造方法、又は、大臣認定を受けたものとしなければならない。
①地階を除く階数が4以上である建築物
②高さ16m超の建築物
③法別表い五号（倉庫）、法別表い六号（自動車車庫、自動車修理工場等）で、高さ13m超"
"火災時倒壊防止構造の特定主要構造部の性能の概要：令109条の5
非損傷性
・耐力壁、柱、はり、床：通常火災終了時間（下限は45分間）
・階段、屋根：30分間
遮熱性
・壁、床、屋根の軒裏：通常火災終了時間（下限は45分間）
・延焼ライン内の非耐力壁である外壁、屋根の軒裏：片面30分間
遮炎性
・外壁、屋根：通常火災終了時間（下限は45分間）
・延焼ライン内の非耐力壁である外壁、屋根の軒裏：片面30分間","火災時倒壊防止構造の特定主要構造部の性能の概要：令109条の5
非損傷性
・耐力壁、柱、はり、床：通常火災終了時間（下限は45分間）
・階段、屋根：30分間
遮熱性
・壁、床、屋根の軒裏：通常火災終了時間（下限は45分間）
・延焼ライン内の非耐力壁である外壁、屋根の軒裏：片面30分間
遮炎性
・外壁、屋根：通常火災終了時間（下限は45分間）
・延焼ライン内の非耐力壁である外壁、屋根の軒裏：片面30分間"
無窓居室等の主要構造部の規制：法35条の3、令111条かっこ書き,無窓居室等の主要構造部の規制：法35条の3、令111条かっこ書き
"防火上主要な間仕切り壁等：
※書く。","防火上主要な間仕切り壁等：
※書く。"
【015防火規定②】,【015防火規定②】
"木造等の建築物の防火壁等：法26条

対象：耐火建築物、準耐火建築物以外で
規模：延べ面積が1,000㎡を超える建築物は、
防火壁の構造：防火上有効な構造の防火壁又は防火床によって有効に区画し、かつ、
防火壁の位置：各区画面積の合計をそれぞれ1,000㎡以内としなければならない。 ​​​​","防火壁：法26条

対象：耐火建築物、準耐火建築物以外で
規模：延べ面積が1,000㎡を超える建築物は、
防火壁の構造：防火上有効な構造の防火壁又は防火床によって有効に区画し、かつ、
防火壁の位置：各区画面積の合計をそれぞれ1,000㎡以内としなければならない。 ​​​​"
"木造等の建築物の防火壁等の構造：令113条
​一号：耐火構造 ​
二号：※確認して書く
三号：※確認して書く
四号：防火壁に設ける開口部の幅及び高さは、それぞれ2.5ｍ以下とし、かつ、特定防火設備とする
​
2項
・​​防火壁等を貫通する給水管、風道等の措置：令112条20項、21項
①給水管・配電管：配管と防火壁との隙間をモルタルなどの不燃材料で埋める。
②換気・暖房・冷房の設備の風道：FD（防火ダンパー）を設置。","木造等の建築物の防火壁等の構造：令113条
​一号：耐火構造 ​
二号：
三号：
四号：防火壁に設ける開口部の幅及び高さは、それぞれ2.5ｍ以下とし、かつ、特定防火設備とする
​
2項
・​​防火壁等を貫通する給水管、風道等の措置：令112条20項、21項
①給水管・配電管：配管と防火壁との隙間をモルタルなどの不燃材料で埋める。
②換気・暖房・冷房の設備の風道：FD（防火ダンパー）を設置。"
"防火区画：令112条
・防火区画の種類
①面○○区画
②高○○区画
③竪○○区画
④異○○区画","■防火区画：令112条
・防火区画の種類
①面積区画
②高層区画
③竪穴区画
④異種用途区画"
"面積区画：令112条
1500m2以内区画：
・対象建築物：
主要構造部を耐火構造とした建築物、又は、
主要構造部を準耐火構造とした建築物（任意準耐火）
・区画の床・壁の構造：1時間準耐火構造
・区画の防火設備の種別：特定防火設備","面積区画：令112条
1500m2以内区画：
・対象建築物：
主要構造部を耐火構造とした建築物、又は、
主要構造部を準耐火構造とした建築物（任意準耐火）
・区画の床・壁の構造：1時間準耐火構造
・区画の防火設備の種別：特定防火設備"
"面積区画（1500m2以内区画）が免除される建築物：
①劇場、映画館、集会場の客席、体育館、工場その他これらに類する用途である建築物の部分
②階段室の部分または、昇降機の昇降路部分（乗降ロビーを含む）で1時間準耐火基準に適合する準耐火構造の床、壁、特定防火設備で区画されたもの","面積区画（1500m2以内区画）が免除される建築物：
①劇場、映画館、集会場の客席、体育館、工場その他これらに類する用途である建築物の部分
②階段室の部分または、昇降機の昇降路部分（乗降ロビーを含む）で1時間準耐火基準に適合する準耐火構造の床、壁、特定防火設備で区画されたもの"
"面積区画：令112条
500m2以内区画：
・対象建築物：イ-2準耐火建築物（45分間）、ロ-1準耐火建築物
・区画の床・壁の構造：1時間準耐火構造
・区画の防火設備の種別：特定防火設備","面積区画：令112条
500m2以内区画：
・対象建築物：イ-2準耐火建築物（1時間未満）、ロ-1準耐火建築物
・区画の床・壁の構造：1時間準耐火構造
・区画の防火設備の種別：特定防火設備"
"500㎡面積区画のみ、
500㎡ごとの防火区画とは別に、
『防火上主要な間仕切り壁』の設置が必要となります。（自動スプリンクラー設備等の設置部分は除く）","500㎡面積区画のみ、
500㎡ごとの防火区画とは別に、
『防火上主要な間仕切り壁』の設置が必要となります。（自動スプリンクラー設備等の設置部分は除く）"
"面積区画：令112条
1000m2以内区画：
・対象建築物：イ-1準耐火建築物（1時間以上）、ロ-2準耐火建築物
・区画の床・壁の構造：1時間準耐火構造
・区画の防火設備の種別：特定防火設備","面積区画：令112条
1000m2以内区画：
・対象建築物：イ-1準耐火建築物（1時間以上）、ロ-2準耐火建築物
・区画の床・壁の構造：1時間準耐火構造
・区画の防火設備の種別：特定防火設備"
"面積区画（1500m2以内区画）が免除される建築物：
天井と壁の仕上げが準不燃材料で
①体育館、工場その他これらに類する用途
②階段室の部分、昇降機の昇降路の部分（乗降ロビー含む）で1時間準耐火構造の床若しくは壁、特定防火設備で区画されたもの","面積区画（1500m2以内区画）が免除される建築物：
天井と壁の仕上げが準不燃材料で
①体育館、工場その他これらに類する用途
②階段室の部分、昇降機の昇降路の部分（乗降ロビー含む）で1時間準耐火構造の床若しくは壁、特定防火設備で区画されたもの"
"面積区画の2倍読み：
スプリンクラー・水噴霧消火・泡消火設備等で自動式のものを設けた部分については、その床面積の1/2を面積区画の対象から除くことができます。","面積区画の2倍読み：
スプリンクラー・水噴霧消火・泡消火設備等で自動式のものを設けた部分については、その床面積の1/2を面積区画の対象から除くことができます。"
"高層区画（11階以上）：令112条
100m2以内区画：
・対象建築物：一般の建築物
・区画の床・壁の構造：耐火構造
・区画の防火設備の種別：防火設備","高層区画（11階以上）：令112条
100m2以内区画：
・対象建築物：一般の建築物
・区画の床・壁の構造：耐火構造
・区画の防火設備の種別：防火設備"
"高層区画（11階以上）：令112条
200m2以内区画：
・対象建築物：内装仕上げ・下地が、準不燃材料（床面から1.2m以上の範囲）
・区画の床・壁の構造：耐火構造
・区画の防火設備の種別：特定防火設備","高層区画（11階以上）：令112条
200m2以内区画：
・対象建築物：内装仕上げ・下地が、準不燃材料（床面から1.2m以上の範囲）
・区画の床・壁の構造：耐火構造
・区画の防火設備の種別：特定防火設備"
"高層区画（11階以上）：令112条
500m2以内区画：
・対象建築物：内装仕上げ・下地が、不燃材料（床面から1.2m以上の範囲）
・区画の床・壁の構造：耐火構造
・区画の防火設備の種別：特定防火設備","高層区画（11階以上）：令112条
500m2以内区画：
・対象建築物：内装仕上げ・下地が、不燃材料（床面から1.2m以上の範囲）
・区画の床・壁の構造：耐火構造
・区画の防火設備の種別：特定防火設備"
"高層区画（11階以上）：令112条
200m2以内区画：
・対象建築物：共同住宅の住戸部分
・区画の床・壁の構造：耐火構造
・区画の防火設備の種別：特定防火設備","高層区画（11階以上）：令112条
200m2以内区画：
・対象建築物：共同住宅の住戸部分
・区画の床・壁の構造：耐火構造
・区画の防火設備の種別：特定防火設備"
"竪穴区画：令112条
メゾネット住戸、吹抜け、階段、EV、ダクトスペース
・対象建築物：地階or3階以上に居室のある、主要構造部が準耐火構造の建築物
・区画の床・壁の構造：準耐火構造
・区画の防火設備の種別：防火設備（遮煙性能付き）","竪穴区画：令112条
メゾネット住戸、吹抜け、階段、EV、ダクトスペース
・対象建築物：地階or3階以上に居室のある、主要構造部が準耐火構造の建築物
・区画の床・壁の構造：準耐火構造
・区画の防火設備の種別：防火設備（遮煙性能付き）"
"竪穴区画：令112条
吹抜け、階段、EV、ダクトスペース
・対象建築物：
3階が病院（病室あり）、児童福祉施設（寝室あり）等で、
階数3、延べ面積200m2未満。
・区画の床・壁の構造：間仕切り壁
・区画の防火設備の種別：防火設備（遮煙性能付き）","竪穴区画：令112条
吹抜け、階段、EV、ダクトスペース
・対象建築物：
3階が病院（病室あり）、児童福祉施設（寝室あり）等で、
階数3、延べ面積200m2未満。
・区画の床・壁の構造：間仕切り壁
・区画の防火設備の種別：防火設備（遮煙性能付き）"
"竪穴区画：令112条
メゾネット住戸、吹抜け、階段、EV、ダクトスペース
・対象建築物：
3階がホテル、共同住宅等で、
階数3、延べ面積200m2未満。
・区画の床・壁の構造：間仕切り壁
・区画の防火設備の種別：戸（ふすま・障子除く）","竪穴区画：令112条
メゾネット住戸、吹抜け、階段、EV、ダクトスペース
・対象建築物：
3階がホテル、共同住宅等で、
階数3、延べ面積200m2未満。
・区画の床・壁の構造：間仕切り壁
・区画の防火設備の種別：戸（ふすま・障子除く）"
"異種用途区画：令112条
法27条（別表1）の用途、と、その他の用途を区画
・対象建築物：建物の一部が、法別表1に該当する建築物
・区画の床・壁の構造：1時間準耐火構造
・区画の防火設備の種別：特定防火設備（遮煙性能付き）","異種用途区画：令112条
法27条（別表1）の用途、と、その他の用途を区画
・対象建築物：建物の一部が、法別表1に該当する建築物
・区画の床・壁の構造：1時間準耐火構造
・区画の防火設備の種別：特定防火設備（遮煙性能付き）"
"防火区画における防火設備の性能：令112条19項
令112条19項一号
①常時閉鎖又は随時閉鎖
②閉鎖に際し周囲の人の安全を確保することができるもの
③廊下、階段などに設置する場合は避難上支障がないもの
④常時閉鎖以外は、熱感知、煙感知により自動閉鎖するもの
令112条19項二号
・竪穴区画や異種用途区画の防火設備には、遮煙性能（二号ロ）を有すること。","防火区画における防火設備の性能：令112条19項
令112条19項一号
①常時閉鎖又は随時閉鎖
②閉鎖に際し周囲の人の安全を確保することができるもの
③廊下、階段などに設置する場合は避難上支障がないもの
④常時閉鎖以外は、熱感知、煙感知により自動閉鎖するもの
令112条19項二号
・竪穴区画や異種用途区画の防火設備には、遮煙性能（二号ロ）を有すること。"
"防火区画貫通管等：令112条20項、21項、令129条の2
①配管が防火区画を貫通する場合は、隙間をモルタルなどの不燃材料で埋める。

②風道が防火区画を貫通する場合は、貫通部分又は近接部分に、
自動的に閉鎖し、遮煙性のある特定防火設備（防火ダンパー）を設ける。","防火区画貫通管等：令112条20項、21項、令129条の2
①配管が防火区画を貫通する場合は、隙間をモルタルなどの不燃材料で埋める。

②風道が防火区画を貫通する場合は、貫通部分又は近接部分に、
自動的に閉鎖し、遮煙性のある特定防火設備（防火ダンパー）を設ける。"
"■内装制限：法○○条の2
・壁及び天井の仕上げを防火上支障ないようにしなければならない
①特○○物
②階数○○以上の建築物
③無○○室（たぶん。調べる）
④延べ面積○○m2超の建築物
⑤調理室・浴室、その他かまど・コンロ等の火気使用設備・器具を設けたもの(薪ストーブも火気に該当！）
※⑤は緩和結構されてるっぽいな。火気の周辺のみ対応すればよさそう。","■内装制限：法35条の2
・壁及び天井の仕上げを防火上支障ないようにしなければならない
①特殊建築物
②階数3以上の建築物
③無窓居室（たぶん。調べる）
④延べ面積1000m2超の建築物
⑤調理室・浴室、その他かまど・コンロ等の火気使用設備・器具を設けたもの(薪ストーブも火気に該当！）
※⑤は緩和結構されてるっぽいな。火気の周辺のみ対応すればよさそう。"
"内装制限一覧：令128条の3の2～令128条の6
・用途：法別表1(い)一項（劇場等）
・構造
①耐火建築物、イ-1準耐火建築物：客席400m2以上
②イ-2準耐火建築物、ロ-1、ロ-2準耐火建築物：客席100m2以上
③その他の建築物：客席100m2以上
・壁天井仕上げ材料の性能：
居室：難燃材料
通路・階段：準不燃材料","内装制限一覧：令128条の3の2～令128条の6
・用途：法別表1(い)一項（劇場等）
・構造
①耐火建築物、イ-1準耐火建築物：客席400m2以上
②イ-2準耐火建築物、ロ-1、ロ-2準耐火建築物：客席100m2以上
③その他の建築物：客席100m2以上
・壁天井仕上げ材料の性能：
居室：難燃材料
通路・階段：準不燃材料"
"内装制限一覧：令128条の3の2～令128条の6
・用途：法別表1(い)二項（病院、ホテル、共同住宅等）
・構造
①耐火建築物、イ-1準耐火建築物：3階以上の合計300m2以上
②イ-2準耐火建築物、ロ-1、ロ-2準耐火建築物：2階部分300m2以上
③その他の建築物：床面積200m2以上
・壁天井仕上げ材料の性能：
居室：難燃材料
通路・階段：準不燃材料","内装制限一覧：令128条の3の2～令128条の6
・用途：法別表1(い)二項（病院、ホテル、共同住宅等）
・構造
①耐火建築物、イ-1準耐火建築物：3階以上の合計300m2以上
②イ-2準耐火建築物、ロ-1、ロ-2準耐火建築物：2階部分300m2以上
③その他の建築物：床面積200m2以上
・壁天井仕上げ材料の性能：
居室：難燃材料
通路・階段：準不燃材料"
"内装制限一覧：令128条の3の2～令128条の6
・用途：法別表1(い)四項（百貨店、キャバレー、飲食店、等）
・構造
①耐火建築物、イ-1準耐火建築物：3階以上の合計1000m2以上
②イ-2準耐火建築物、ロ-1、ロ-2準耐火建築物：2階部分500m2以上
③その他の建築物：床面積200m2以上
・壁天井仕上げ材料の性能：
居室：難燃材料
通路・階段：準不燃材料","内装制限一覧：令128条の3の2～令128条の6
・用途：法別表1(い)四項（百貨店、キャバレー、飲食店、等）
・構造
①耐火建築物、イ-1準耐火建築物：3階以上の合計1000m2以上
②イ-2準耐火建築物、ロ-1、ロ-2準耐火建築物：2階部分500m2以上
③その他の建築物：床面積200m2以上
・壁天井仕上げ材料の性能：
居室：難燃材料
通路・階段：準不燃材料"
"内装制限一覧：令128条の3の2～令128条の6
・用途：令128条の4第1項二号（自動車車庫、自動車修理工場）
・構造：すべて
・壁天井仕上げ材料の性能：
室・通路・階段等：準不燃材料","内装制限一覧：令128条の3の2～令128条の6
・用途：令128条の4第1項二号（自動車車庫、自動車修理工場）
・構造：すべて
・壁天井仕上げ材料の性能：
室・通路・階段等：準不燃材料"
"内装制限一覧：令128条の3の2～令128条の6
・用途：令128条の4第1項三号（地階又は地下工作物内の、法別表1（い）一～三項の用途の居室）
・構造：すべて
・壁天井仕上げ材料の性能：
居室・通路・階段等：準不燃材料","内装制限一覧：令128条の3の2～令128条の6
・用途：令128条の4第1項三号（地階又は地下工作物内の、法別表1（い）一～三項の用途の居室）
・構造：すべて
・壁天井仕上げ材料の性能：
居室・通路・階段等：準不燃材料"
"内装制限一覧：令128条の3の2～令128条の6
・用途：大規模建築物
・構造：
①階数3以上、かつ、延べ面積500m2超
②階数2、かつ、延べ面積1000m2超
③階数1、かつ、延べ面積3000m2超
・壁天井仕上げ材料の性能：
居室：難燃材料
通路・階段等：準不燃材料","内装制限一覧：令128条の3の2～令128条の6
・用途：大規模建築物
・構造：
①階数3以上、かつ、延べ面積500m2超
②階数2、かつ、延べ面積1000m2超
③階数1、かつ、延べ面積3000m2超
・壁天井仕上げ材料の性能：
居室：難燃材料
通路・階段等：準不燃材料"
"内装制限一覧：令128条の3の2～令128条の6
・用途：令128条の3の2第一号（排煙上の無窓居室）
・構造：無窓居室で、床面積50m2超
・壁天井仕上げ材料の性能：
居室・通路・階段等：準不燃材料","内装制限一覧：令128条の3の2～令128条の6
・用途：令128条の3の2第一号（排煙上の無窓居室）
・構造：無窓居室で、床面積50m2超
・壁天井仕上げ材料の性能：
居室・通路・階段等：準不燃材料"
"内装制限一覧：令128条の3の2～令128条の6
・用途：令128条の3の2第二号（採光上の無窓居室）
・構造：温湿度調整を要する居室など（法28条のただし書き）
・壁天井仕上げ材料の性能：
居室・通路・階段等：準不燃材料","内装制限一覧：令128条の3の2～令128条の6
・用途：令128条の3の2第二号（採光上の無窓居室）
・構造：温湿度調整を要する居室など（法28条のただし書き）
・壁天井仕上げ材料の性能：
居室・通路・階段等：準不燃材料"
"内装制限一覧：令128条の3の2～令128条の6
・用途：住宅のキッチン
・構造：階数2以上の建築物（最上階のキッチンは除く）
・壁天井仕上げ材料の性能：
キッチン：準不燃材料","内装制限一覧：令128条の3の2～令128条の6
・用途：住宅のキッチン
・構造：階数2以上の建築物（最上階のキッチンは除く）
・壁天井仕上げ材料の性能：
キッチン：準不燃材料"
"内装制限一覧：令128条の3の2～令128条の6
・用途：住宅以外の調理室、ボイラー室など
・構造：階数2以上の建築物（最上階のキッチンは除く）
・壁天井仕上げ材料の性能：
調理室、ボイラー室：準不燃材料","内装制限一覧：令128条の3の2～令128条の6
・用途：住宅以外の調理室、ボイラー室など
・構造：階数2以上の建築物（最上階のキッチンは除く）
・壁天井仕上げ材料の性能：
調理室、ボイラー室：準不燃材料"
【016避難規定①】,【016避難規定①】
"・廊下、避難階段、出入口の避難規定の適用範囲（令117条）
①法別表1(い)一号（○○等）、二号（○○等）、三号（○○等）、四号（○○等）の特殊建築物
②階数○○以上の建築物
③有効採光面積が1/○○未満の居室のある階
④延べ面積○○m2超の建築物","・廊下、避難階段、出入口の避難規定の適用範囲（令117条）
①法別表1(い)一号（劇場等）、二号（病院、ホテル、共同住宅等）、三号（学校、体育館等）、四号（百貨店等）の特殊建築物
②階数3以上の建築物
③有効採光面積が1/20未満の居室のある階
④延べ面積1000m2超の建築物"
"・廊下の幅員
小中高校：両側居室○○m以上、その他○○m以上
病院患者用、共同住宅の共用廊下、居室面積○○m2超の階：両側居室○○m、その他○○m以上","・廊下の幅員
小中高校：両側居室2.3m以上、その他1.8m以上
病院患者用、共同住宅の共用廊下、居室面積200m2超の階：両側居室1.6m、その他1.2m以上"
"・階段の種別
①階段
②直通階段：
③屋内避難階段：耐火構造。内装不燃材料。防火設備(遮煙)。（細かくは令123条）
④屋外避難階段：耐火構造。内装不燃材料。防火設備(遮煙)。 （細かくは令123条）
⑤特別避難階段：避難階段仕様。付室が必要。付室には特定防火設備。（細かくは令123条）","・階段の種別
①階段
②直通階段：
③屋内避難階段：耐火構造。内装不燃材料。防火設備(遮煙)。（細かくは令123条）
④屋外避難階段：耐火構造。内装不燃材料。防火設備(遮煙)。 （細かくは令123条）
⑤特別避難階段：避難階段仕様。付室が必要。付室には特定防火設備。（細かくは令123条）"
"・直通階段の設置
居室から直通階段までの歩行距離

①有効採光面積1/○○未満の居室、又は、法別表第一（い）欄（四）項の居室（※特殊建築物（百○○等））
内装準不燃：○○m以下（○○階以上○○m）
その他：○○m（○○階以上○○m）以下","・直通階段の設置
居室から直通階段までの歩行距離

①有効採光面積1/20未満の居室、又は、法別表第一（い）欄（四）項の居室（※特殊建築物（百貨店等））
内装準不燃：40m以下（15階以上30m）
その他：30m（15階以上20m）以下"
"・直通階段の設置
居室から直通階段までの歩行距離

②法別表第一（い）欄（二）項の特殊建築物の主たる用途に供する居室（※特殊建築物（病○○など））
準耐火構造+内装準不燃：○○m以下（○○階以上○○m）：
準耐火構造：○○m（○○階以上○○m）以下、
その他：○○m以下","・直通階段の設置
居室から直通階段までの歩行距離

②法別表第一（い）欄（二）項の特殊建築物の主たる用途に供する居室（※特殊建築物（病院など））
準耐火構造+内装準不燃：60m以下（15階以上50m）：
準耐火構造：50m（15階以上40m）以下、
その他：30m以下"
"・直通階段の設置
居室から直通階段までの歩行距離

③上記以外の居室
準耐火構造+内装準不燃：○○m以下（○○階以上○○m）：
準耐火構造：○○m（○○階以上○○m）以下、
その他：○○m以下","・直通階段の設置
居室から直通階段までの歩行距離

③上記以外の居室
準耐火構造+内装準不燃：60m以下（15階以上50m）：
準耐火構造：50m（15階以上40m）以下、
その他：40m以下"
"2以上の直通階段の設置（いわゆる二方向避難。）：令121条1項、2項
一号：劇○○等
各階、床面積○○","2以上の直通階段の設置（いわゆる二方向避難。）：令121条1項、2項
一号：劇場等
各階、床面積制限なし"
"2以上の直通階段の設置（いわゆる二方向避難。）：令121条1項、2項
二号：物販（○○m2超）
各階、床面積○○","2以上の直通階段の設置（いわゆる二方向避難。）：令121条1項、2項
二号：物販（1500m2超）
各階、床面積制限なし"
"2以上の直通階段の設置（いわゆる二方向避難。）：令121条1項、2項
三号：キャバレー、ナイトクラブ等
○○階以上、床面積○○
○○階以下、床面積○○
避難階の直上/直下、○○(○○)m2超
※()内は、主要構造部が準耐火構造又は不燃材料の建築物","2以上の直通階段の設置（いわゆる二方向避難。）：令121条1項、2項
三号：キャバレー、ナイトクラブ等
6階以上、床面積制限なし
5階以下、床面積制限なし
避難階の直上/直下、100(200)m2超
※()内は、主要構造部が準耐火構造又は不燃材料の建築物"
"2以上の直通階段の設置（いわゆる二方向避難。）：令121条1項、2項
四号：病院など
○○階以上、床面積○○
○○階以下、床面積○○(○○)m2超
※()内は、主要構造部が準耐火構造又は不燃材料の建築物","2以上の直通階段の設置（いわゆる二方向避難。）：令121条1項、2項
四号：病院など
6階以上、床面積制限なし
5階以下、床面積50(60)m2超
※()内は、主要構造部が準耐火構造又は不燃材料の建築物"
"2以上の直通階段の設置（いわゆる二方向避難。）：令121条1項、2項
五号：ホテル、旅館、など
○○階以上、床面積○○
○○階以下、床面積○○(○○)m2超
※()内は、主要構造部が準耐火構造又は不燃材料の建築物","2以上の直通階段の設置（いわゆる二方向避難。）：令121条1項、2項
五号：ホテル、旅館、など
6階以上、床面積制限なし
5階以下、床面積100(200)m2超
※()内は、主要構造部が準耐火構造又は不燃材料の建築物"
"2以上の直通階段の設置（いわゆる二方向避難。）：令121条1項、2項
六号：上記以外の居室
○○階以上、床面積○○
○○階以下、床面積○○(○○)m2超
避難階の直上/直下、○○(○○)m2超
※()内は、主要構造部が準耐火構造又は不燃材料の建築物","2以上の直通階段の設置（いわゆる二方向避難。）：令121条1項、2項
六号：上記以外の居室
6階以上、床面積制限なし
5階以下、床面積100(200)m2超
避難階の直上/直下、200(400)m2超
※()内は、主要構造部が準耐火構造又は不燃材料の建築物"
"2以上の直通階段の歩行距離の重複区間：令121条3項
令○○条の歩行距離の1/○○以下とする。","2以上の直通階段の歩行距離の重複区間：令121条3項
令120条の歩行距離の1/2以下とする。"
"特定階の直通階段の緩和：令121条1項、4項
※書く。",特定階の直通階段の緩和：令121条1項、4項
"避難階段/特別避難階段の設置が必要な条件：令122条1項
①○○階以上、又は、地下○○階以下の建築物：避○○階段又は特○○階段
②○○階以上、又は、地下○○階以下の建築物：特○○階段
③○○階以上の階を物○○舗とした建築物：○○以上の直○○階段（避○○階段又は特○○階段）が必要。

また、○○階以上は2直通階段の内1つを特○○階段とする
○○階以上は2直通階段どちらも特○○階段とする","避難階段/特別避難階段の設置が必要な条件：令122条1項
①5階以上、又は、地下2階以下の建築物：避難階段又は特別避難階段
②15階以上、又は、地下3階以下の建築物：特別避難階段
③3階以上の階を物品販売店舗とした建築物：2以上の直通階段（避難階段又は特別避難階段）が必要。

また、5階以上は2直通階段の内1つを特別避難階段とする
15階以上は2直通階段どちらも特別避難階段とする"
