【001請負契約】,,【001請負契約】,
"・ガス圧接継手の継手部の検査
外観検査：全数。目視、ノギス、スケール
超音波検査：1検査ロットからランダムに○○箇所。不合格○○箇所以上で不合格。
引張試験法：1検査ロットから○○本
1検査ロット：1組の作業班が1日に施工した圧接箇所の数量",,"・ガス圧接継手の継手部の検査
外観検査：全数。目視、ノギス、スケール
超音波検査：1検査ロットからランダムに30箇所。不合格2箇所以上で不合格。
引張試験法：1検査ロットから3本
1検査ロット：1組の作業班が1日に施工した圧接箇所の数量",
"■機械式継手の種類
①ね○○継手：
　ト○○方式：カプラーと鉄筋の緩みを、ロックナットで締付ける。
　グ○○方式：カプラーと鉄筋の緩みを、モルタル・樹脂を注入する。
②鋼○○継手：外側から加圧して、スリーブを食い込ませて接合。
③充○○継手：スリーブに、無収縮高強度モルタルを充填して一体化。
④端○○継手：鉄筋の端部をねじと摩擦圧接して、カプラーと接合。
⑤併○○継手：2種類の機械式継手を組み合わせ。圧着ねじ併用継手、充填圧着併用継手等。",,"■機械式継手
①ねじ節継手：
　トルク方式：カプラーと鉄筋の緩みを、ロックナットで締付ける。
　グラウト方式：カプラーと鉄筋の緩みを、モルタル・樹脂を注入する。
②鋼管圧着継手：外側から加圧して、スリーブを食い込ませて接合。
③充填継手：スリーブに、無収縮高強度モルタルを充填して一体化。
④端部ねじ継手：鉄筋の端部をねじと摩擦圧接して、カプラーと接合。
⑤併用継手：2種類の機械式継手を組み合わせ。圧着ねじ併用継手、充填圧着併用継手等。",
■配筋のポイント,,■配筋のポイント,
【011型枠工事】,,【011型枠工事】,
"■せき板の種類
木材：製材、合板
金属：金属製型枠パネル、デッキプレート型枠、ラス型枠
コンクリート：プレキャストコンクリート",,"■せき板の種類
木材：製材、合板
金属：金属製型枠パネル、デッキプレート型枠、ラス型枠
コンクリート：プレキャストコンクリート",
"■型枠工法
ラス型枠工法、
プレキャストコンクリート型枠工法、
デッキプレート型枠工法、
スリップフォーム型枠工法",,"■型枠工法
ラス型枠工法、プレキャストコンクリート型枠工法、デッキプレート型枠工法、スリップフォーム型枠工法",
"デッキプレート型枠には、施工荷重によるたわみを考慮して
○○mm程度のキャンバー（むくり）がつけてある。",,"デッキプレート型枠には、施工荷重によるたわみを考慮して
10mm程度のキャンバー（むくり）がつけてある。",
"壁型枠の配管スリーブは
開口補強が○○要、
スリーブ径が○○mm以下
の場合、紙チューブとすることができる。

※開口補強は一般に径100mm以下であれば不要なことが多い。が、詳細な条件は構造設計/構造図の確認が必要。",,"壁型枠の配管スリーブは
開口補強が不要、
スリーブ径が200mm以下
の場合、紙チューブとすることができる。

※開口補強は一般に径100mm以下であれば不要なことが多い。が、詳細な条件は構造設計/構造図の確認が必要。",
■型枠支保工の設計,,■型枠支保工の設計,
■型枠の加工・組立,,■型枠の加工・組立,
■型枠支保工の残置期間,,■型枠支保工の残置期間,
"・せき板存置期間のコンクリートの材齢（20度以上/20～10度）
早強ポルトランドセメント：○○/3日
普通ポルトランドセメント：○○/6日
高炉セメントB種：○○/8日
中庸熱ポルトランドセメント：○○/9日",,"・せき板存置期間のコンクリートの材齢（20度以上/20～10度）
早強ポルトランドセメント：2/3日
普通ポルトランドセメント：4/6日
高炉セメントB種：5/8日
中庸熱ポルトランドセメント：7/9日",
【012コンクリート工事①】,,【012コンクリート工事①】,
■コンクリートの種類・品質,,■コンクリートの種類・品質,
・普通コンクリートの設計基準強度：○○N/mm2～○○N/mm2,,・普通コンクリートの設計基準強度：18N/mm2～48N/mm2,
"・耐久設計基準強度：
短期：○○N/mm2
標準：○○N/mm2
長期：○○N/mm2
超長期：○○N/mm2",,"・耐久設計基準強度：
短期：18N/mm2
標準：24N/mm2
長期：30N/mm2
超長期：36N/mm2",
・品質基準強度：設計基準強度、または、耐久設計基準強度の大きい方,,・品質基準強度：設計基準強度、または、耐久設計基準強度の大きい方,
"・アルカリ骨材反応を防ぐ3つのポイント
反応性の骨材を使用しない
コンクリート中のアルカリ量を低減
抑制効果のある混合セメントを使用",,"・アルカリ骨材反応を防ぐ3つのポイント
反応性の骨材を使用しない
コンクリート中のアルカリ量を低減
抑制効果のある混合セメントを使用",
"・許容ひび割れ幅
○○mm(非腐食環境であれば○○mm)",,"・許容ひび割れ幅
0.3mm(非腐食環境であれば0.5mm)",
・壁の最大面積：最大○○m2,,・壁の最大面積：最大25m2,
・壁の辺長比：○○以下（○○さ/○○さ ）,,・壁の辺長比：1.25以下（長さ/高さ ）,
・ひび割れ誘発目地の深さ：実壁厚さの○○/5以上、目地間隔○○m以下,,・ひび割れ誘発目地の深さ：実壁厚さの1/5以上、目地間隔3m以下,
"ひび割れの補修
①乾○○ひび割れ：
ひび割れ進行が止まってから、エ○○工法などによりひび割れを埋めて補修。

②プ○○ひび割れ
コンクリートが固まる前の収縮ひび割れ。
速やかにタ○○により処置します。",,"ひび割れの補修
①乾燥収縮ひび割れ：
ひび割れ進行が止まってから、エポキシ樹脂注入工法などによりひび割れを埋めて補修。

②プラスチック収縮ひび割れ
コンクリートが固まる前の収縮ひび割れ。
速やかにタンピングにより処置します。",
"■調合
・スランプ：特記無い場合○○cm
・空気量：特記無い場合○○%
・水セメント比：
普通コンクリート：○○%
低熱コンクリート：○○%",,"■調合
・スランプ：特記無い場合18cm
・空気量：特記無い場合4.5%
・水セメント比：
普通コンクリート：65%
低熱コンクリート：60%",
"回収水（スラッジ水）が利用できるコンクリート
計画共用期間の級が
短期：○○
標準：○○
長期：○○
超長期：○○

コンクリート種類が
高強度：○○
高流動：○○",,"回収水（スラッジ水）が利用できるコンクリート
計画共用期間の級が
短期：OK
標準：OK
長期：NG
超長期：NG

コンクリート種類が
高強度：NG
高流動：NG",
【013コンクリート工事②】,,【013コンクリート工事②】,
"コンクリートの発注・製造・受け入れ
・コンクリート工場：同一工区に2つ以上の工場はNG
・呼び強度の算出：調合管理強度（=品質基準強度+構造体強度補正値)
・呼び強度保証する材齢：原則○○日
・ミキサー車の荷下ろし直前にドラムの高速回転を行う。",,"■コンクリートの発注・製造・受け入れ
・コンクリート工場：同一工区に2つ以上の工場はNG
・呼び強度の算出：調合管理強度（=品質基準強度+構造体強度補正値)
・呼び強度保証する材齢：原則28日
・ミキサー車の荷下ろし直前にドラムの高速回転を行う。",
"コンクリート受入検査
スランプ許容差：
○○～○○cmの場合、○○cm
○○cmの場合、○○cm

空気量の許容差：○○%",,"コンクリート受入検査
スランプ許容差：
8～18cmの場合、±2.5cm
21cmの場合、±1.5cm

空気量の許容差：±1.5%",
"暑中コンクリートの荷下ろし時の温度：○○度以下
寒中コンクリートの荷下ろし時の温度：○○度～○○度（※ただし監理者承認あれば下限○○度OK）",,"暑中コンクリートの荷下ろし時の温度：35度以下
寒中コンクリートの荷下ろし時の温度：10度～20度（※ただし監理者承認あれば下限5度OK）",
■構造体コンクリートの圧縮強度の検査,,■構造体コンクリートの圧縮強度の検査,
"・1検査ロット
普通コンクリート ： 「打込み日ごと」「打込み区画ごと」「コンクリート150m3ごと」
高強度コンクリート：「打込み日ごと」「打込み区画ごと」「コンクリート300m3ごと」",,"・1検査ロット
普通コンクリート ： 「打込み日ごと」「打込み区画ごと」「コンクリート150m3ごと」
高強度コンクリート：「打込み日ごと」「打込み区画ごと」「コンクリート300m3ごと」",
"・1検査ロットの試験回数
普通コンクリート ：○○回
高強度コンクリート：○○回",,"・1検査ロットの試験回数
普通コンクリート ：1回
高強度コンクリート：3回",
"・1検査ロットの供試体の数
普通コンクリート ： 適切な間隔をあけた「○○台の運搬車」から○○個ずつ採取し、合計○○個の供試体を作製する。
高強度コンクリート： 適切な間隔をあけた「○○台の運搬車」それぞれに対して「○○台につき○○個ずつ採取して行う1回の試験」を行い、合計○○回の試験、合計○○個の供試体を作製する。
圧縮強度試験に用いる供試体の養生方法には、主に次の3種類があります。
■標準養生・・・・・約○○℃に温度調整された水中で養生。
■現場水中養生・・・現場気温で○○で養生。
■現場封かん養生・・現場気温でビニールなどで○○して養生。",,"・1検査ロットの供試体の数
普通コンクリート ： 適切な間隔をあけた「3台の運搬車」から1個ずつ採取し、合計3個の供試体を作製する。
高強度コンクリート： 適切な間隔をあけた「3台の運搬車」それぞれに対して「1台につき3個ずつ採取して行う1回の試験」を行い、合計3回の試験、合計9個の供試体を作製する。
圧縮強度試験に用いる供試体の養生方法には、主に次の3種類があります。
■標準養生・・・・・約20℃に温度調整された水中で養生。
■現場水中養生・・・現場気温で水中で養生。
■現場封かん養生・・現場気温でビニールなどで包んで（封かん）して養生。",
■運搬・打ち込み・締固め・養生・仕上がり,,■運搬・打ち込み・締固め・養生・仕上がり,
・先送りモルタルとは：配管内を潤す。廃棄する。,,・先送りモルタルとは：配管内を潤す。廃棄する。,
・スランプ○○cm程度の打ち込み速度：○○～○○m3が目安,,・スランプ18cm程度の打ち込み速度：20-30m3が目安,
"・一般的な打ち重ね時間間隔：
外気温が○○度以下：○○分
外気温が○○度以上：○○分
※コールドジョイントが発生しない範囲",,"・一般的な打ち重ね時間間隔：
外気温が25度以下：150分
外気温が25度以上：120分
※コールドジョイントが発生しない範囲",
"・バイブレーターの注意点
バイブレーター使って、柱を通過して横流しはNG
内部振動機の挿入間隔：呼び径の○○倍程度
内部振動機の加振時間 ：○○～○○秒程度 or セ○○が浮くまで。
外部振動機の取り付け間隔：通常壁で○○～○○m程度
外部振動機の加振時間：○○～○○分（スランプ○○cm程度）",,"・バイブレーターの注意点
バイブレーター使って、柱を通過して横流しはNG
内部振動機の挿入間隔：呼び径の10倍程度
内部振動機の加振時間 ：5～15秒程度 or セメントペースト浮くまで。
外部振動機の取り付け間隔：通常壁で2～3m程度
外部振動機の加振時間：1-3分（スランプ18cm程度）",
"高流動コンクリートのポイント
・流動化剤の添加、攪拌は、工○○で行う。
・材料の分離等が見られない場合、締固めが○○要な場合が多い。",,"流動化コンクリートのポイント
・流動化剤の添加、攪拌は、工事現場で行う。
・材料の分離等が見られない場合、締固めが不要な場合が多い。",
"コンクリートの養生温度
・○○日間は○○℃以上に保つ。",,"コンクリートの養生温度
・5日間は2℃以上に保つ。",
"湿潤養生の期間
普通ポルトランドセメントの場合
・計画供用期間の級、短期、標準：○○日間以上
・計画供用期間の級、長期、超長期：○○日間以上

湿潤養生開始のタイミング
・ブ○○水が消失
・せき板に面は、○○後",,"湿潤養生の期間
普通ポルトランドセメントの場合
・計画供用期間の級、短期、標準：5日間以上
・計画供用期間の級、長期、超長期：7日間以上

湿潤養生開始のタイミング
・ブリーディング水が消失
・せき板に面は、脱型後",
【014コンクリート工事③】,,【014コンクリート工事③】,
※細かいコンクリートの特徴を書く！,,※細かいコンクリートの特徴を書く！,
プレストレストコンクリート,,プレストレストコンクリート,
【015鉄骨工事①】,,【015鉄骨工事①】,
■材料・工作,,■材料・工作,
"・主な鉄骨工場の作業工程と注意点
工作図
切断、切削
孔あけ：ドリル孔あけが原則。特記あればレーザー孔あけが可能。板厚が13mm以下の時はせん断孔あけ可能。
曲げ：常温または加熱加工とする。青熱脆性域で加工はNG。
組立溶接：4mm以上の脚長、ビード長さ30mm(板厚6mm以下）か40mm（6mm以上）以上",,"・主な鉄骨工場の作業工程と注意点
工作図
切断、切削
孔あけ：ドリル孔あけが原則。特記あればレーザー孔あけが可能。板厚が13mm以下の時はせん断孔あけ可能。
曲げ：常温または加熱加工とする。青熱脆性域で加工はNG。
組立溶接：4mm以上の脚長、ビード長さ30mm(板厚6mm以下）か40mm（6mm以上）以上",
"鋼材の孔あけ加工
・高力ボルト用：
ド○○孔明け。特記あればレ○○孔明けOK。

・高力ボルト用以外（ボルト用孔、アンカーボルト用孔、鉄筋の貫通孔）：
原則ド○○孔明け。特記あればレ○○孔明けOK。
板厚○○mm以下はせん断孔あけOK。

・設備配管用貫通孔
孔径○○mm以上の場合はガス孔あけOK。",,"鋼材の孔あけ加工
・高力ボルト用：
ドリル孔明け。特記あればレーザー孔明けOK。

・高力ボルト用以外（ボルト用孔、アンカーボルト用孔、鉄筋の貫通孔）：
原則ドリル孔明け。特記あればレーザー孔明けOK。
板厚13mm以下はせん断孔あけOK。

・設備配管用貫通孔
孔径30mm以上の場合はガス孔あけOK。",
■溶接接合・検査,,■溶接接合・検査,
"エンドタブ取付：
裏○○金に溶接・取付（母材にはNG）",,"エンドタブ取付：
裏当て金に溶接・取付（母材にはNG）",
"エンドタブの切断：
特記無い場合○○要",,"エンドタブの切断：
特記無い場合不要",
"裏当て金の組立溶接：
フランジ両端の○○mm、ウェブR部分の○○mm以内は行わない",,"裏当て金の組立溶接：
フランジ両端の5mm、ウェブR部分の5mm以内は行わない",
溶接NGな気温：○○度以下NG。○○~○○度の場合は余熱すればOK。,,溶接NGな気温：-5度以下NG。-5~5度の場合は余熱すればOK。,
溶接NGな風速：○○m/s以上はガスシールドアーク溶接NG。,,溶接NGな風速：2m/s以上はガスシールドアーク溶接NG。,
溶接欠陥と補修,,溶接欠陥と補修,
"■表面割れ（クラック）
　→○○mm以上余分に除去・船底型",,"■表面割れ（クラック）
　→50mm以上余分に除去・船底型",
"■内部欠陥（スラグ巻込み・溶込み不良・融合不良・ブローホール）
　→○○mm程度余分に除去・船底型",,"■内部欠陥（スラグ巻込み・溶込み不良・融合不良・ブローホール）
　→20mm程度余分に除去・船底型",
"溶接部の受入れ検査方法
目○○検査
浸○○試験
磁○○試験
超○○試験：溶接○○箇所以下で1ロット。○○個サンプリングで1か所NGで不合格。
ス○○試験：スタッド○○以下、または、部材1本の本数で1ロット。1本サンプリングでNGなら、更に○○本検査。",,"溶接部の受入れ検査方法
目視検査
浸透探傷試験
磁紛探傷試験
超音波探傷試験：溶接300箇所以下で1ロット。30個サンプリングで1か所NGで不合格。
スタッド打撃曲げ試験：スタッド100以下、または、部材1本の本数で1ロット。1本サンプリングでNGなら、更に2本検査。",
"鉄骨製作工場の認定グレードの順番
①○○
②○○
③○○
④○○
⑤○○",,"鉄骨製作工場の認定グレードの順番
①S
②H
③M
④R
⑤J",
【016鉄骨工事②】,,【016鉄骨工事②】,
"肌すきがある場合の対処法
○○mm以下：処理○○要
○○mm超：フ○○プレートを入れる",,"肌すきがある場合の対処法
1mm以下：処理不要
1mm超：フィラープレートを入れる",
"トルシア形高力ボルトの検査基準
・目視検査：
ピ○○破断
共○○り、軸○○り、無し

・ナット回転量：平均回転角度○○度以内

・ボルト余長：○○～○○山",,"トルシア形高力ボルトの検査基準
・目視検査：
ピンテール破断
共回り、軸回り無し

・ナット回転量：平均回転角度±30度以内

・ボルト余長：1～6山",
"高力六角ボルトの検査基準
・目視検査
共○○り無し

・ナット回転量：○○度±○○度
回転量不足のものは追○○めする。

・ボルト余長：○○～○○山",,"高力六角ボルトの検査基準
・目視検査
共回り無し

・ナット回転量：120度±30度
回転量不足のものは追い締めする。

・ボルト余長：1～6山",
"仮ボルトの締付け本数
・高力ボルト継手：仮ボルトの種類：○○ボルト、本数：1/○○程度かつ○○本以上
・混用接合・併用継手：仮ボルトの種類：○○ボルト、本数：1/○○程度かつ○○本以上
・エレクションピース：仮ボルトの種類：○○ボルト、本数：○○
※エレクションピースは柱の建て入れ用の奴ね！",,"■仮ボルトの締付け本数
・高力ボルト継手：仮ボルトの種類：中ボルト、本数：1/3程度かつ2本以上
・混用接合・併用継手：仮ボルトの種類：中ボルト、本数：1/2程度かつ2本以上
・エレクションピース：仮ボルトの種類：高力ボルト、本数：全数
※エレクションピースは柱ね！",
■錆止め塗装,,■錆止め塗装,
【017鉄骨工事③】,,【017鉄骨工事③】,
■工事現場施工,,■工事現場施工,
・柱脚部アンカーボルトのベースモルト厚さ：○○～○○mm,,・柱脚部アンカーボルトのベースモルト厚さ：30-50mm,
・アンカーボルト上部の余長：二重ナット締めした後ねじが○○山以上でる,,・アンカーボルト上部の余長：二重ナット締めした後ねじが3山以上でる,
・アンカーボルトのナット戻り止め：原則○○重ナット。埋込柱脚は○○重ナットでOK。,,・アンカーボルトのナット戻り止め：原則二重ナット。埋込柱脚は一重ナットでOK。,
・建方時に障害となる柱脚の鉄筋の曲げ角度：○○度以下。元の位置に戻す場合○○～○○度に加熱して戻す,,・建方時に障害となる柱脚の鉄筋の曲げ角度：30度以下。元の位置に戻す場合850-900度に加熱して戻す,
・縦入れ直しは筋交いで行うのはNG。専用ワイヤロープで行う。,,・縦入れ直しは筋交いで行うのはNG。専用ワイヤロープで行う。,
・柱の倒れ管理許容差：H/○○以下かつ○○mm以下。,,・柱の倒れ管理許容差：H/1000以下かつ10mm以下。,
■スタッド溶接の検査,,■スタッド溶接の検査,
■耐火被覆工法,,■耐火被覆工法,
■溶融亜鉛めっき工法,,■溶融亜鉛めっき工法,
溶融亜鉛めっきの高力ボルト接合の処理：ブ○○処理、リ○○処理,,溶融亜鉛めっきの高力ボルト接合の処理：ブラスト処理、リン酸塩処理,
"・鉄骨建方工法とクレーン
■建逃げ方式
移○○式クレーン（ク○○クレーン、ト○○クレーン）
■積上げ方式
定○○式クレーン（タ○○クレーン）
※クローラーとは、キャタピラのことです。キャタピラは登録商標。",,"・鉄骨建方工法とクレーン
■建逃げ方式
移動式クレーン（クローラークレーン、トラッククレーン）
■積上げ方式
定置式クレーン（タワークレーン）
※クローラーとは、キャタピラのことです。キャタピラは登録商標。",
【018木工事】,,【018木工事】,
"軸組工法の接合部
・ホ○○金物・ア○○の配置：構造計算に基づいて設置
・ただし、アンカーボルトは下記仕様とする場合も多い
○○mごとに設置、耐力壁の両側では柱芯から○○mm前後に設置",,"軸組工法の接合部
・ホールダウン金物・アンカーボルトの配置：構造計算に基づいて設置
・ただし、アンカーボルトは下記仕様とする場合も多い
2.7mごとに設置、耐力壁の両側では柱芯から200mm前後に設置",
"・接合金物と接合対象
基礎と土台：ア○○ボルト
基礎と柱：ホ○○金物
土台と柱：山形プ○○・かど金物
柱と筋交い：筋○○プレート
柱と胴差：羽○○ボルト
軒桁と小屋梁：羽○○ボルト
軒桁と垂木：ひ○○金物、く○○金物",,"・接合金物と接合対象
基礎と土台：アンカーボルト
基礎と柱：ホールダウン金物
土台と柱：山形プレート・かど金物
柱と筋交い：筋交いプレート
柱と胴差：羽子板ボルト
軒桁と小屋梁：羽子板ボルト
軒桁と垂木：ひねり金物、くら金物",
■下地材の配置と面材の留め付,,■下地材の配置と面材の留め付,
"1階床の工法
・根○○工法
・根○○工法",,"1階床の工法
・根太工法
・根太レス工法",
大引き継手の位置：床束心から○○程度持ち出した位置,,大引き継手の位置：床束心から150程度持ち出した位置,
根太間隔：○○m程度,,根太間隔：303mm程度,
畳床の根太間隔：○○mm程度,,畳床の根太間隔：455mm程度,
【解体工事】,,【解体工事】,
"・解体の方法
破○○解体：破砕して、建物外へ出す。
部○○解体：ブロックとして切り離し、建物外で破砕する",,"・解体の方法
破砕解体：破砕して、建物外へ出す。
部分解体：ブロックとして切り離し、建物外で破砕する",
"・作業場所による違い
階○○作業による解体
地○○作業による解体",,"・作業場所による違い
階上作業による解体
地上作業による解体",
"・主な解体機
大型ブ○○カー、ハンドブ○○カー
圧○○機",,"・主な解体機
大型ブレーカー、ハンドブレーカー
圧砕機",
"・階上作業による解体
重機、コンクリート塊の重量に対応して、支保工を設置。
屋上に楊重した解体重機により最上階から解体
解体したコンクリート塊を利用してスロープを作り、下階に移動する。
解体ガラを落とす、ダメ穴（3mx3m程度）を事前に作る。
原則として、中央部から先に解体（粉塵・騒音を外壁でガード。）
1層ずつ、最後に外壁を内側に転倒させる：転倒解体工法。",,"・階上作業による解体
重機、コンクリート塊の重量に対応して、支保工を設置。
屋上に楊重した解体重機により最上階から解体
解体したコンクリート塊を利用してスロープを作り、下階に移動する。
解体ガラを落とす、ダメ穴（3mx3m程度）を事前に作る。
原則として、中央部から先に解体（粉塵・騒音を外壁でガード。）
1層ずつ、最後に外壁を内側に転倒させる：転倒解体工法。",
"・地上作業による解体
ロングアーム重機を領して、上階から下階に、床→梁→壁→柱の順に解体。",,"・地上作業による解体
ロングアーム重機を領して、上階から下階に、床→梁→壁→柱の順に解体。",
"・騒音、振動、粉じん対策
外部足場：防○○パネルを隙間なく設置
振動レベル計測方法：計測器の指示値の、一定期間の最○○値の平均値を振動レベルとする。
十分な散○○を行う
コンクリートガラが雨水にさらされると雨水排水が強アルカリ性になるため、ph調整を目的とした装置が必要。",,"・騒音、振動、粉じん対策
外部足場：防音パネルを隙間なく設置
振動レベル計測方法：計測器の指示値の、一定期間の最大値の平均値を振動レベルとする。
十分な散水を行う
コンクリートガラが雨水にさらされると雨水排水が強アルカリ性になるため、ph調整を目的とした装置が必要。",
【建設機械】,,【建設機械】,
"・場所打ちコンクリート杭の掘削機
①ア○○掘削機
②リ○○掘削機",,"・場所打ちコンクリート杭の掘削機
①アースドリル掘削機
②リバース掘削機",
"・土工事用の建設機械
①ク○○シェル
②バ○○ホウ
③振○○ローラー
④タ○○ローラー
⑤ラ○○マー
⑥振○○コンパクター
⑦ブ○○ドーザー",,"・土工事用の建設機械
①クラムシェル
②バックホウ
③振動ローラー
④タイヤローラー
⑤ランマー
⑥振動コンパクター
⑦ブルドーザー",
"・楊重運搬機械
①油圧式ト○○クレーン：トラックの上にクレーンを載せている。
②ホ○○クレーン（ラフテレーンクレーン）：ホイールで走行するクレーン。
③ク○○クレーン：キャタピラで走行するクレーン。
※吊り上げ性能：アウトリガーを最大に張り出し、ジブ長さを最短、ジブ傾斜角を最大にした時の最大荷重。",,"・楊重運搬機械
①油圧式トラッククレーン：トラックの上にクレーンを載せている。
②ホイールクレーン（ラフテレーンクレーン）：ホイールで走行するクレーン。
③クローラークレーン：キャタピラで走行するクレーン。
※吊り上げ性能：アウトリガーを最大に張り出し、ジブ長さを最短、ジブ傾斜角を最大にした時の最大荷重。",
【019防水工事】,,【019防水工事】,
"・防水工法の種類
①ア○○防水：アスファルトルーフィングをアスファルトで密着。数層重ねる。釜で溶かすので施工時に煙・臭いが出る。
②改○○防水：上記の工数や臭いを減らしたもの。シート状のものをトーチで溶かす
③シ○○防水：接着工法（接着剤）、機械固定工法（ディスク）がある。
④塗○○防水：X-1工法（脱気筒付ける）、X-2工法（普通に塗る）がある。",,"・防水工法の種類
①アスファルト防水：アスファルトルーフィングをアスファルトで密着。数層重ねる。釜で溶かすので施工時に煙・臭いが出る。
②改質アスファルト防水：上記の工数や臭いを減らしたもの。シート状のものをトーチで溶かす
③シート防水：接着工法（接着剤）、機械固定工法（ディスク）がある。
④塗膜防水：X-1工法（脱気筒付ける）、X-2工法（普通に塗る）がある。",
■防水下地,,■防水下地,
"・勾配：
コンクリート・砂利等で保護する場合：1/○○～1/○○
仕上塗料塗り・仕上げ無しの場合：1/○○～1/○○",,"・勾配：
コンクリート・砂利等で保護する場合：1/100-1/50
仕上塗料塗り・仕上げ無しの場合：1/50-1/20",
・下地面は十分乾燥させる,,・下地面は十分乾燥させる,
"・下地形状
平場のコンクリート表面は、金○○仕上げ
立上り部のコンクリートは、打○○仕上げ
※セパレートは丸セパB型を使い、コーン穴には硬練モルタルを充てんし平坦にする",,"・下地形状
平場のコンクリート表面は、金ごて仕上げ
立上り部のコンクリートは、打放し仕上げ
※セパレートは丸セパB型を使い、コーン穴には硬練モルタルを充てんし平坦にする",
"・入隅
アスファルト防水：面○○り（アスファルトルーフィングが硬いので面取り）
その他の防水（改質アスファルト含む）：直○○（※隅部は役物使ったり、施工性のため）",,"・入隅
アスファルト防水：面取り（アスファルトルーフィングが硬いので面取り）
その他の防水（改質アスファルト含む）：直角（※隅部は役物使ったり、施工性のため）",
"・出隅
すべて面○○行う。",,"・出隅
すべて面取り行う。",
"■ドレン回り
・ドレンは型枠固定し、打込む
・ルーフドレンのつばは、防水層の張りかけ幅が○○mm程度以上確保できる形状
・ルーフドレンのつばの天端は、○○mm～○○mm下げる。半径○○mm程度ですりつける。
・ルーフドレン芯とパラペット立上り面の離隔距離は、ドレン径+○○mm。",,"■ドレン回り
・ドレンは型枠固定し、打込む
・ルーフドレンのつばは、防水層の張りかけ幅が100mm程度以上確保できる形状
・ルーフドレンのつばの天端は、30mm～50mm下げる。半径600mm程度ですりつける。
・ルーフドレン芯とパラペット立上り面の離隔距離は、ドレン径+250mm。",
■■アスファルト防水,,■■アスファルト防水,
■密着工法と絶縁工法,,■密着工法と絶縁工法,
"密着工法
・下地面と防水層を全面接○○
・下地の亀裂などにより破断しやすい
・下地が乾燥していないと、防水層の膨れ等が発生",,"密着工法
・下地面と防水層を全面接着
・下地の亀裂などにより破断しやすい
・下地が乾燥していないと、防水層の膨れ等が発生",
"絶縁工法
・下地に挙動が予想される場所に採用
・周辺部、立上り部は密○○とする。",,"絶縁工法
・下地に挙動が予想される場所に採用
・周辺部、立上り部は密着とする。",
■保護防水と露出防水,,■保護防水と露出防水,
"保護防水
・厚さ：水下で○○mm以上
・溶接金網：線径○○mm以上、網目寸法○○mm程度
・伸縮目地：目地深さ、保護コンクリート表面～絶縁シートまで。パラペット等の立上りから○○m、中間部は○○m間隔。
・絶縁シート：ポリエチレンシート等。",,"保護防水
・厚さ：水下で80mm以上
・溶接金網：線径6.0mm以上、網目寸法100mm程度
・伸縮目地：目地深さ、保護コンクリート表面～絶縁シートまで。パラペット等の立上りから0.6m、中間部は3m間隔。
・絶縁シート：ポリエチレンシート等。",
"露出防水
・工法の2種類：絶○○工法、密○○工法
・絶縁工法の特徴：脱○○装置（脱気筒）
・脱気筒の箇所数：○○～○○m2に1か所
・※密着工法には不要。",,"露出防水
・工法の2種類：絶縁工法、密着工法
・絶縁工法の特徴：脱気装置（脱気筒）
・脱気筒の箇所数：25～100m2に1か所
・※密着工法には不要。",
■アスファルト防水工事の施工,,■アスファルト防水工事の施工,
"①アスファルトプライマーの塗布
・下地は乾燥状態で施工。ルーフィング類の貼り付けは原則翌日以降
・コンクリート下地の場合の使用量：○○kg/m2
・ALCパネル下地の場合は、○○回塗り（合計0.4kg/m2）。",,"①アスファルトプライマーの塗布
・下地は乾燥状態で施工。ルーフィング類の貼り付けは原則翌日以降
・コンクリート下地の場合の使用量：0.2kg/m2
・ALCパネル下地の場合は、2回塗り（合計0.4kg/m2）。",
"②アスファルトの溶融・施工
・溶融窯は出来るだけ施工場所の近くに設置
・溶融温度は製造所指定温度以下。（低煙・低臭型は○○度以下）
・アスファルトの使用量：1層につき○○kg/m2程度。",,"②アスファルトの溶融・施工
・溶融窯は出来るだけ施工場所の近くに設置
・溶融温度は製造所指定温度以下。（低煙・低臭型は240度以下）
・アスファルトの使用量：1層につき1.0kg/m2程度。",
③アスファルトルーフィング類の貼り付け,,③アスファルトルーフィング類の貼り付け,
"・増張り：
出隅入隅：幅○○mm以上のストレッチルーフィングを最下層に増張り
コンクリート打継部：幅○○mm程度の絶縁テープの上に幅○○mm以上のストレッチルーフィングを増張り
貫通配管回り：最下層に網状アスファルトルーフィングを増張り、次に、配管根元の平場にストレッチルーフィングを150mm増張り。立上り防水端部にステンレス製バンドで締付け、上部にシール材。",,"・増張り：
出隅入隅：幅300mm以上のストレッチルーフィングを最下層に増張り
コンクリート打継部：幅50mm程度の絶縁テープの上に幅300mm以上のストレッチルーフィングを増張り
貫通配管回り：最下層に網状アスファルトルーフィングを増張り、次に、配管根元の平場にストレッチルーフィングを150mm増張り。立上り防水端部にステンレス製バンドで締付け、上部にシール材。",
"・平場の張りつけ
重ね幅：○○mm以上",,"・平場の張りつけ
重ね幅：100mm以上",
"・立上り部の張りつけ
原則、平場から連続して張り上げ
高さが○○mm以上の場合は、平場の上に立上りを○○mm程度重ねて、張り上げ",,"・立上り部の張りつけ
原則、平場から連続して張り上げ
高さが300mm以上の場合は、平場の上に立上りを150mm程度重ねて、張り上げ",
